Etant	etant	AUX	O	O	O
à	à	ADP	O	O	O
peu	peu	ADV	O	O	O
près	près	ADV	O	O	O
incompétent	incompétent	ADJ	O	O	O
en	en	ADP	O	O	O
la	le	DET	O	O	O
matière	matière	NOUN	O	O	O
spéciale	spécial	ADJ	O	O	O
dont	dont	PRON	O	O	O
il	il	PRON	O	O	O
s'	se	PRON	O	O	O
agit	agir	VERB	O	O	O
,	,	PUNCT	O	O	O
ayant	avoir	AUX	O	O	O
assisté	assister	VERB	O	O	O
tout	tout	ADJ	O	O	O
seul	seul	ADJ	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
effroyable	effroyable	ADJ	O	O	O
expérience	expérience	NOUN	O	O	O
,	,	PUNCT	O	O	O
dans	dans	ADP	O	O	O
des	un	DET	O	O	O
conditions	condition	NOUN	O	O	O
,	,	PUNCT	O	O	O
au	au	ADP	O	O	O
reste	reste	NOUN	O	O	O
,	,	PUNCT	O	O	O
que	que	PRON	O	O	O
je	je	PRON	O	O	O
ne	ne	ADV	O	O	O
puis	pouvoir	VERB	O	O	O
pas	pas	ADV	O	O	O
ne	ne	ADV	O	O	O
pas	pas	ADV	O	O	O
trouver	trouver	VERB	O	O	O
étranges	étrange	ADJ	O	O	O
et	et	CCONJ	O	O	O
troublantes	troublant	ADJ	O	O	O
,	,	PUNCT	O	O	O
force	force	NOUN	O	O	O
m'	me	PRON	O	O	O
est	être	VERB	O	O	O
bien	bien	ADV	O	O	O
d'	de	ADP	O	O	O
avouer	avouer	VERB	O	O	O
loyalement	loyalement	ADV	O	O	O
que	que	SCONJ	O	O	O
mon	mon	DET	O	O	O
témoignage	témoignage	NOUN	O	O	O
n'	ne	ADV	O	O	O
offre	offrir	VERB	O	O	O
aucune	aucun	PRON	O	O	O
des	de	ADP	O	O	O
garanties	garantie	NOUN	O	O	O
nécessaires	nécessaire	ADJ	O	O	O
à	à	ADP	O	O	O
un	un	DET	O	O	O
témoignage	témoignage	NOUN	O	O	O
scientifique	scientifique	ADJ	O	O	O
.	.	PUNCT	O	O	O

Je	je	PRON	O	O	O
dirai	dire	VERB	O	O	O
même	même	ADV	O	O	O
plus	plus	ADV	O	O	O
:	:	PUNCT	O	O	O
ce	ce	DET	O	O	O
témoignage	témoignage	NOUN	O	O	O
,	,	PUNCT	O	O	O
mon	mon	DET	O	O	O
propre	propre	ADJ	O	O	O
témoignage	témoignage	NOUN	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
témoignage	témoignage	NOUN	O	O	O
de	de	ADP	O	O	O
mes	mon	DET	O	O	O
yeux	oeil	NOUN	O	O	O
et	et	CCONJ	O	O	O
de	de	ADP	O	O	O
mes	mon	DET	O	O	O
oreilles	oreille	NOUN	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
moi	moi	PRON	O	O	O
,	,	PUNCT	O	O	O
je	je	PRON	O	O	O
suis	être	AUX	O	O	O
le	le	DET	O	O	O
premier	premier	ADJ	O	O	O
,	,	PUNCT	O	O	O
quand	quand	SCONJ	O	O	O
j'	je	PRON	O	O	O
y	y	PRON	O	O	O
pense	penser	VERB	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
le	le	PRON	O	O	O
mettre	mettre	VERB	O	O	O
en	en	ADP	O	O	O
doute	doute	NOUN	O	O	O
.	.	PUNCT	O	O	O
Et	et	CCONJ	O	O	O
cependant	cependant	ADV	O	O	O
,	,	PUNCT	O	O	O
j'	je	PRON	O	O	O
ai	avoir	AUX	O	O	O
vu	voir	VERB	O	O	O
,	,	PUNCT	O	O	O
j'	je	PRON	O	O	O
ai	avoir	AUX	O	O	O
entendu	entendre	VERB	O	O	O
;	;	PUNCT	O	O	O

je	je	PRON	O	O	O
suis	être	AUX	O	O	O
sûr	sûr	ADJ	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
tout	tout	DET	O	O	O
cas	cas	NOUN	O	O	O
,	,	PUNCT	O	O	O
d'	de	ADP	O	O	O
avoir	avoir	AUX	O	O	O
vu	voir	VERB	O	O	O
et	et	CCONJ	O	O	O
entendu	entendre	VERB	O	O	O
réellement	réellement	ADV	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
non	non	ADV	O	O	O
pas	pas	ADV	O	O	O
au	au	ADP	O	O	O
cours	cours	NOUN	O	O	O
d'	de	ADP	O	O	O
un	un	DET	O	O	O
rêve	rêve	NOUN	O	O	O
.	.	PUNCT	O	O	O

Que	que	SCONJ	O	O	O
je	je	PRON	O	O	O
n'	ne	ADV	O	O	O
aie	avoir	AUX	O	O	O
pas	pas	ADV	O	O	O
rêvé	rêver	VERB	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
effet	effet	NOUN	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
m'	me	PRON	O	O	O
en	en	PRON	O	O	O
reste	reste	VERB	O	O	O
au	au	ADP	O	O	O
moins	moins	ADV	O	O	O
cette	ce	DET	O	O	O
preuve	preuve	NOUN	O	O	O
palpable	palpable	ADJ	O	O	O
:	:	PUNCT	O	O	O
la	le	DET	O	O	O
lettre	lettre	NOUN	O	O	O
de	de	ADP	O	O	O
mon	mon	DET	O	O	O
ami	ami	NOUN	O	O	O
Harry	harry	PROPN	O	O	O
Sloughby	sloughby	PROPN	O	O	O
,	,	PUNCT	O	O	O
me	me	PRON	O	O	O
confirmant	confirmer	VERB	O	O	O
l'	le	DET	O	O	O
existence	existence	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
expérimentateur	expérimentateur	NOUN	O	O	O
et	et	CCONJ	O	O	O
ma	mon	DET	O	O	O
présence	présence	NOUN	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
effroyable	effroyable	ADJ	O	O	O
expérience	expérience	NOUN	O	O	O
.	.	PUNCT	O	O	O

Tandis	tandis	ADV	O	O	O
que	que	SCONJ	O	O	O
j'	je	PRON	O	O	O
écris	écrire	VERB	O	O	O
,	,	PUNCT	O	O	O
je	je	PRON	O	O	O
l'	le	PRON	O	O	O
ai	avoir	VERB	O	O	O
là	là	ADV	O	O	O
,	,	PUNCT	O	O	O
devant	devant	ADP	O	O	O
moi	moi	PRON	O	O	O
,	,	PUNCT	O	O	O
cette	ce	DET	O	O	O
lettre	lettre	NOUN	O	O	O
,	,	PUNCT	O	O	O
je	je	PRON	O	O	O
la	le	PRON	O	O	O
relis	relire	VERB	O	O	O

pour	pour	ADP	O	O	O
bien	bien	ADV	O	O	O
me	me	PRON	O	O	O
convaincre	convaincre	VERB	O	O	O
de	de	ADP	O	O	O
n'	ne	ADV	O	O	O
avoir	avoir	AUX	O	O	O
pas	pas	ADV	O	O	O
rêvé	rêver	VERB	O	O	O

.	.	PUNCT	O	O	O

Or	or	CCONJ	O	O	O
voici	voici	VERB	O	O	O
ce	ce	PRON	O	O	O
qu'	que	PRON	O	O	O
elle	lui	PRON	O	O	O
dit	dire	VERB	O	O	O
:	:	PUNCT	O	O	O
«	«	PUNCT	O	O	O
Non	non	ADV	O	O	O
,	,	PUNCT	O	O	O
mon	mon	DET	O	O	O
cher	cher	ADJ	O	O	O
,	,	PUNCT	O	O	O
vous	vous	PRON	O	O	O
n'	ne	ADV	O	O	O
assisterez	assister	VERB	O	O	O
point	point	ADV	O	O	O
de	de	ADP	O	O	O
nouveau	nouveau	ADJ	O	O	O
à	à	ADP	O	O	O
la	le	DET	O	O	O
chose	chose	NOUN	O	O	O
,	,	PUNCT	O	O	O
du	de	ADP	O	O	O
moins	moins	ADV	O	O	O
tout	tout	ADV	O	O	O
seul	seul	ADJ	O	O	O
.	.	PUNCT	O	O	O

Car	car	CCONJ	O	O	O
notre	notre	DET	O	O	O
homme	homme	NOUN	O	O	O
est	être	AUX	O	O	O
parti	partir	VERB	O	O	O
pour	pour	ADP	O	O	O
préparer	préparer	VERB	O	O	O
son	son	DET	O	O	O
grand	grand	ADJ	O	O	O
coup	coup	NOUN	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
prétend	prétendre	VERB	O	O	O
être	être	AUX	O	O	O
désormais	désormais	ADV	O	O	O
en	en	ADP	O	O	O
mesure	mesure	NOUN	O	O	O
de	de	ADP	O	O	O
le	le	PRON	O	O	O
tenter	tenter	VERB	O	O	O
.	.	PUNCT	O	O	O

En	en	ADP	O	O	O
quel	quel	DET	O	O	O
endroit	endroit	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
terre	terre	NOUN	O	O	O
?	?	PUNCT	O	O	O

C'	ce	PRON	O	O	O
est	être	AUX	O	O	O
ce	ce	PRON	O	O	O
que	que	PRON	O	O	O
j'	je	PRON	O	O	O
ignore	ignorer	VERB	O	O	O
.	.	PUNCT	O	O	O

