«	«	PUNCT	O	O	O
Ces	ce	DET	O	O	O
journaux	journal	NOUN	O	O	O
anglais	anglais	ADJ	O	O	O
sont	être	AUX	O	O	O
vraiment	vraiment	ADV	O	O	O
bien	bien	ADV	O	O	O
faits	faire	VERB	O	O	O
!	!	PUNCT	O	O	O
»	»	PUNCT	O	O	O
se	se	PRON	O	O	O
dit	dire	VERB	O	O	O
à	à	ADP	O	O	O
lui	luire	PRON	O	O	O
-	-	PRON	O	O	O
même	même	ADV	O	O	O
le	le	DET	O	O	O
bon	bon	ADJ	O	O	O
docteur	docteur	NOUN	O	O	O
en	en	ADP	O	O	O
se	se	PRON	O	O	O
renversant	renverser	VERB	O	O	O
dans	dans	ADP	O	O	O
un	un	DET	O	O	O
grand	grand	ADJ	O	O	O
fauteuil	fauteuil	NOUN	O	O	O
de	de	ADP	O	O	O
cuir	cuir	NOUN	O	O	O
.	.	PUNCT	O	O	O

Le	le	DET	O	O	O
docteur	docteur	NOUN	O	O	O
Sarrasin	sarrasin	PROPN	O	O	O
avait	avoir	AUX	O	O	O
toute	tout	ADJ	O	O	O
sa	son	DET	O	O	O
vie	vie	NOUN	O	O	O
pratiqué	pratiquer	VERB	O	O	O
le	le	DET	O	O	O
monologue	monologue	NOUN	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
est	être	AUX	O	O	O
une	un	DET	O	O	O
des	de	ADP	O	O	O
formes	forme	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
distraction	distraction	NOUN	O	O	O
.	.	PUNCT	O	O	O

C'	ce	PRON	O	O	O
était	être	AUX	O	O	O
un	un	DET	O	O	O
homme	homme	NOUN	O	O	O
de	de	ADP	O	O	O
cinquante	cinquante	NUM	O	O	O
ans	an	NOUN	O	O	O
,	,	PUNCT	O	O	O
aux	à	ADP	O	O	O
traits	trait	NOUN	O	O	O
fins	fin	ADJ	O	O	O
,	,	PUNCT	O	O	O
aux	à	ADP	O	O	O
yeux	oeil	NOUN	O	O	O
vifs	vif	ADJ	O	O	O
et	et	CCONJ	O	O	O
purs	pur	ADJ	O	O	O
sous	sou	ADP	O	O	O
leurs	leur	DET	O	O	O
lunettes	lunette	NOUN	O	O	O
d'	de	ADP	O	O	O
acier	acier	NOUN	O	O	O
,	,	PUNCT	O	O	O
de	de	ADP	O	O	O
physionomie	physionomie	NOUN	O	O	O
